id;name;uic;lat;lon;country;evalid
1413;Micheldorf;micheldorf;47,883144;14,126381;AT;8100412
1940;Mattersburg Nord;mattersburg-nord;47,741215;16,402893;AT;8102015
1433;Melk;melk;48,22456;15,33163;AT;8100005
1227;Traisen Markt;traisen-markt;48,039673;15,611505;AT;8101645
940;Bad Ischl;bad-ischl;47,712246;13,627444;AT;8100157
625;Takern-St.Margarethen;takern-st.margarethen;47,04589;15,757719;AT;8100318
1890;Reutte in Tirol;reutte-in-tirol;47,492947;10,721709;AT;8100115
968;Jennersdorf;jennersdorf;46,935013;16,1397;AT;8101010
934;Wien Blumental;wien-blumental;48,139515;16,369514;AT;8101003
154;Bregenz;bregenz;47,502956;9,739563;AT;8100090
2199;Tattendorf;tattendorf;47,95564;16,306063;AT;8101647
96;Mühlheim;muhlheim;48,26971;13,221047;AT;8101248
2085;Scharnstein-Mühldorf;scharnstein-muhldorf;47,9004;13,958564;AT;8100420
307;Eben im Pongau;eben-im-pongau;47,406494;13,396695;AT;8100140
1683;Pernitz-Muggendorf;pernitz-muggendorf;47,895897;15,958189;AT;8101369
249;Wolfsbergkogel;wolfsbergkogel;47,649628;15,82709;AT;8101795
2169;Schwarzach-St.Veit;schwarzach-st.veit;47,31857;13,154359;AT;8100044
1999;St.Georgen a.d.Gusen;st.georgen-a.d.gusen;48,265175;14,440642;AT;8101501
218;Münster-Wiesing;munster-wiesing;47,40336;11,819731;AT;8100488
177;Blindenmarkt;blindenmarkt;48,1251;14,981262;AT;8100669
128;Bad Mitterndorf-Heilbrunn;bad-mitterndorf-heilbrunn;47,551132;13,925318;AT;8100672
1318;Marchegg;marchegg;48,24922;16,918734;AT;8100466
1293;Linz Hbf;linz-hbf;48,28981;14,291519;AT;8100013
1274;Lauterach;lauterach;47,477303;9,7244;AT;8100302
1235;Gobelsburg;gobelsburg;48,46234;15,701704;AT;8100859
1234;Langenlois;langenlois;48,477013;15,686313;AT;8100299
1786;Dürnberg;durnberg;48,331585;14,192051;AT;8100734
745;Gurten;gurten;48,24307;13,335229;AT;8100263
1844;Pürgg;purgg;47,528633;14,064599;AT;8100582
904;Gersthof;gersthof;48,230724;16,329103;AT;8100249
1496;Paasdorf;paasdorf;48,546818;16,535233;AT;8101336
808;Purkersdorf Sanatorium;purkersdorf-sanatorium;48,2063;16,200539;AT;8101342
1489;Langenwang;langenwang;47,568012;15,613629;AT;8101190
961;Jenbach;jenbach;47,38847;11,778396;AT;8100102
4749447;Lienz-Peggetz;lienz-peggetz;46,827293;12,792301;AT;8102042
869;Hörsching;horsching;48,245758;14,186403;AT;8100974
91;Attnang-Puchheim;attnang-puchheim;48,012684;13,720813;AT;8100017
88;Linz Ebelsberg;linz-ebelsberg;48,251987;14,346881;AT;8101127
456;Gisingen;gisingen;47,255554;9,597988;AT;8100842
69;Dietrichshofen;dietrichshofen;48,369427;13,421708;AT;8100732
1766;Pitten;pitten;47,71715;16,179518;AT;8100191
1145;Laßnitzthal;lassnitzthal;47,088333;15,657153;AT;8101161
1131;Laa a.d.Thaya;laa-a.d.thaya;48,724144;16,402542;AT;8101180
549;Weikendorf-Dörfles;weikendorf-dorfles;48,349266;16,758448;AT;8101748
656;Wilfleinsdorf;wilfleinsdorf;48,022034;16,718498;AT;8101771
2262;Tulln an der Donau;tulln-an-der-donau;48,32761;16,06433;AT;8100203
2340;Voitsdorf;voitsdorf;48,012268;14,046977;AT;8101723
599;Goisern Jodschwefelbad;goisern-jodschwefelbad;47,65857;13,608708;AT;8100863
